file_name,predicted_class,score
nothing/LowerTrailCamera_EK002207.JPG,human,0.7323391
nothing/LowerTrailCamera_EK002208.JPG,human,0.61344606
nothing/LowerTrailCamera_EK002274.JPG,rabbit,0.76765615
nothing/LowerTrailCamera_EK002320.JPG,squirrel,0.9032024
nothing/LowerTrailCamera_EK002321.JPG,human,0.58773607
nothing/LowerTrailCamera_EK002322.JPG,human,0.5883607
nothing/LowerTrailCamera_EK002482.JPG,deer,0.5298083
nothing/LowerTrailCamera_EK002483.JPG,deer,0.46654418
nothing/LowerTrailCamera_EK002484.JPG,squirrel,0.31869498
nothing/LowerTrailCamera_EK002492.JPG,skunk,0.5115533
nothing/LowerTrailCamera_EK002493.JPG,rabbit,0.8579049
nothing/LowerTrailCamera_EK002624.JPG,squirrel,0.9948138
nothing/LowerTrailCamera_EK002648.JPG,squirrel,0.46715286
nothing/LowerTrailCamera_EK002649.JPG,squirrel,0.5320596
nothing/LowerTrailCamera_EK002712.JPG,squirrel,0.86313874
nothing/LowerTrailCamera_EK002745.JPG,rabbit,0.81915426
nothing/LowerTrailCamera_EK002797.JPG,squirrel,0.73942906
nothing/LowerTrailCamera_EK002798.JPG,squirrel,0.5103782
nothing/LowerTrailCamera_EK002799.JPG,squirrel,0.38476628
nothing/LowerTrailCamera_EK002935.JPG,squirrel,0.4582435
nothing/LowerTrailCamera_EK002936.JPG,squirrel,0.35554144
nothing/LowerTrailCamera_EK002937.JPG,human,0.41205445
nothing/LowerTrailCamera_EK002973.JPG,squirrel,0.71001077
nothing/LowerTrailCamera_EK003167.JPG,human,0.45924893
nothing/LowerTrailCamera_EK003548.JPG,rabbit,0.3918734
nothing/LowerTrailCamera_EK003549.JPG,rabbit,0.3641129
nothing/LowerTrailCamera_EK003609.JPG,rabbit,0.29969546
nothing/LowerTrailCamera_EK003750.JPG,squirrel,0.62278175
nothing/LowerTrailCamera_EK003844.JPG,rabbit,0.95895725
nothing/LowerTrailCamera_EK003845.JPG,rabbit,0.9202788
nothing/LowerTrailCamera_EK003846.JPG,rabbit,0.8468463
nothing/LowerTrailCamera_EK004633.JPG,squirrel,0.8136437
nothing/LowerTrailCamera_EK004634.JPG,squirrel,0.51912546
nothing/LowerTrailCamera_EK004705.JPG,human,0.6129187
nothing/LowerTrailCamera_EK004747.JPG,squirrel,0.99684024
nothing/LowerTrailCamera_EK004748.JPG,squirrel,0.9995402
nothing/LowerTrailCamera_EK004749.JPG,squirrel,0.9781771
nothing/LowerTrailCamera_EK005506.JPG,squirrel,0.6709789
nothing/LowerTrailCamera_EK005507.JPG,squirrel,0.99263847
nothing/LowerTrailCamera_EK005508.JPG,squirrel,0.62843597
nothing/LowerTrailCamera_EK005658.JPG,human,0.77281106
nothing/LowerTrailCamera_EK005950.JPG,squirrel,0.5635155
nothing/LowerTrailCamera_EK005984.JPG,squirrel,0.9406265
nothing/LowerTrailCamera_EK005985.JPG,squirrel,0.69405925
nothing/LowerTrailCamera_EK006295.JPG,squirrel,0.74190843
nothing/LowerTrailCamera_EK006297.JPG,squirrel,0.5375814
nothing/LowerTrailCamera_EK006998.JPG,squirrel,0.59238356
nothing/LowerTrailCamera_EK007000.JPG,squirrel,0.54030997
nothing/LowerTrailCamera_EK007023.JPG,squirrel,0.34974188
nothing/LowerTrailCamera_EK007256.JPG,squirrel,0.5134934
nothing/LowerTrailCamera_EK007354.JPG,squirrel,0.6782045
nothing/LowerTrailCamera_EK007524.JPG,squirrel,0.7793922
